t, y, yd
1.959999999999999964e+00,-2.462107011056456352e-01,-2.959798013326095378e-01
1.969999999999999973e+00,-2.491311123087022461e-01,-2.881058406480229150e-01
1.979999999999999982e+00,-2.519728878664294069e-01,-2.802528941635536452e-01
1.989999999999999991e+00,-2.547362446817460491e-01,-2.724223154547814607e-01
2.000000000000000000e+00,-2.574214131258363292e-01,-2.646154402408664175e-01
2.010000000000000231e+00,-2.600286368369079115e-01,-2.568335862351540655e-01
2.020000000000000018e+00,-2.625581725397548305e-01,-2.490780530629818634e-01
2.030000000000000249e+00,-2.650102898645405602e-01,-2.413501221840772260e-01
2.040000000000000036e+00,-2.673852711648480596e-01,-2.336510568195424853e-01
2.049999999999999822e+00,-2.696834113350471962e-01,-2.259821018834056172e-01
2.060000000000000053e+00,-2.719050176270263464e-01,-2.183444839187334285e-01
2.069999999999999840e+00,-2.740504094654273026e-01,-2.107394110245437713e-01
2.080000000000000071e+00,-2.761199182581127176e-01,-2.031680727233241002e-01
2.089999999999999858e+00,-2.781138872192897571e-01,-1.956316400317852089e-01
2.100000000000000089e+00,-2.800326711819852710e-01,-1.881312653818472680e-01
2.109999999999999876e+00,-2.818766364113580725e-01,-1.806680825647444810e-01
2.120000000000000107e+00,-2.836461604184645213e-01,-1.732432066916655689e-01
2.129999999999999893e+00,-2.853416317737125785e-01,-1.658577341586663367e-01
2.140000000000000124e+00,-2.869634499200536815e-01,-1.585127426158247921e-01
2.149999999999999911e+00,-2.885120249859592922e-01,-1.512092909406292374e-01
2.160000000000000142e+00,-2.899877775982306338e-01,-1.439484192155702502e-01
2.169999999999999929e+00,-2.913911386746083632e-01,-1.367311486702922907e-01
2.180000000000000160e+00,-2.927225492305890464e-01,-1.295584816560919061e-01
2.189999999999999947e+00,-2.939824602337653414e-01,-1.224314017184200132e-01
2.200000000000000178e+00,-2.951713323936531186e-01,-1.153508735461273582e-01
2.209999999999999964e+00,-2.962896359730308182e-01,-1.083178429671448617e-01
2.220000000000000195e+00,-2.973378505996081556e-01,-1.013332369486635853e-01
2.229999999999999982e+00,-2.983164650777702653e-01,-9.439796360121183172e-02
2.240000000000000213e+00,-2.992259772004438045e-01,-8.751291218659398852e-02
2.250000000000000000e+00,-3.000668935611275900e-01,-8.067895312967487964e-02
2.260000000000000231e+00,-3.008397293648765736e-01,-7.389693803105594483e-02
2.270000000000000018e+00,-3.015450082151663880e-01,-6.716769962699163654e-02
2.280000000000000249e+00,-3.021832619554470356e-01,-6.049205187926326444e-02
2.290000000000000036e+00,-3.027550304832332118e-01,-5.387079000427513753e-02
2.300000000000000266e+00,-3.032608615553050724e-01,-4.730469048432867085e-02
2.310000000000000053e+00,-3.037013106008822905e-01,-4.079451110008305847e-02
2.319999999999999840e+00,-3.040769405352110599e-01,-3.434099096652129535e-02
2.330000000000000071e+00,-3.043883215736065129e-01,-2.794485057239742831e-02
2.339999999999999858e+00,-3.046360310459922949e-01,-2.160679182313086921e-02
2.350000000000000089e+00,-3.048206532119799861e-01,-1.532749808711342601e-02
2.359999999999999876e+00,-3.049427790655421244e-01,-9.107634229543075388e-03
2.370000000000000107e+00,-3.050030061255659120e-01,-2.947846628322384199e-03
2.379999999999999893e+00,-3.050019383062082534e-01,3.151236692478250057e-03
2.390000000000000124e+00,-3.049401857132474913e-01,9.189006033725063971e-03
2.399999999999999911e+00,-3.048183644590065078e-01,1.516486996333537077e-02
2.410000000000000142e+00,-3.046370964804226422e-01,2.107825525177138212e-02
2.419999999999999929e+00,-3.043970093578612923e-01,2.692860680446563029e-02
2.430000000000000160e+00,-3.040987361347115003e-01,3.271538759122274986e-02
2.439999999999999947e+00,-3.037429151378032710e-01,3.843807857262532962e-02
2.450000000000000178e+00,-3.033301897986208640e-01,4.409617862355139778e-02
2.459999999999999964e+00,-3.028612084445817532e-01,4.968920448417552677e-02
2.470000000000000195e+00,-3.023366241393625198e-01,5.521669066064731346e-02
2.479999999999999982e+00,-3.017570945323915788e-01,6.067818931484093153e-02
2.490000000000000213e+00,-3.011232816643862331e-01,6.607327019564798731e-02
2.500000000000000000e+00,-3.004358517923699790e-01,7.140152054932097370e-02
2.510000000000000231e+00,-2.996954752156877899e-01,7.666254502717541330e-02
2.520000000000000018e+00,-2.989028261030560185e-01,8.185596559068251954e-02
2.530000000000000249e+00,-2.980585823206813312e-01,8.698142141399974048e-02
2.540000000000000036e+00,-2.971634252614852034e-01,9.203856878397106978e-02
2.550000000000000266e+00,-2.962180397034895885e-01,9.702708104654939048e-02
2.560000000000000053e+00,-2.952231134435959192e-01,1.019466483205945517e-01
2.569999999999999840e+00,-2.941793374624304680e-01,1.067969777147391996e-01
2.580000000000000071e+00,-2.930874055285263013e-01,1.115777929361872756e-01
2.589999999999999858e+00,-2.919480140932524947e-01,1.162888342767372241e-01
2.600000000000000089e+00,-2.907618621253256208e-01,1.209298584983321823e-01
2.609999999999999876e+00,-2.895296509467546464e-01,1.255006387166835990e-01
2.620000000000000107e+00,-2.882520840702185727e-01,1.300009642829747236e-01
2.629999999999999893e+00,-2.869298670378774285e-01,1.344306406636372742e-01
2.640000000000000124e+00,-2.855637072616160066e-01,1.387894893182081146e-01
2.649999999999999911e+00,-2.841543138455016604e-01,1.430773475830744712e-01
2.660000000000000142e+00,-2.827023974145574936e-01,1.472940685513130510e-01
2.669999999999999929e+00,-2.812086700092104596e-01,1.514395209244801532e-01
2.680000000000000160e+00,-2.796738449068191801e-01,1.555135888927155208e-01
2.689999999999999947e+00,-2.780986364672635158e-01,1.595161720037186204e-01
2.700000000000000178e+00,-2.764837599805808344e-01,1.634471850295545203e-01
2.709999999999999964e+00,-2.748299315159734024e-01,1.673065578315588997e-01
2.720000000000000195e+00,-2.731378677721845727e-01,1.710942352233481845e-01
2.729999999999999982e+00,-2.714082859145549032e-01,1.748101768466140959e-01
2.740000000000000213e+00,-2.696419034298740414e-01,1.784543570286027669e-01
2.750000000000000000e+00,-2.678394380011938636e-01,1.820267646191104927e-01
2.760000000000000231e+00,-2.660016073514209212e-01,1.855274028581604673e-01
2.770000000000000018e+00,-2.641291290998971641e-01,1.889562892301670793e-01
2.780000000000000249e+00,-2.622227206203279204e-01,1.923134553162257065e-01
2.790000000000000036e+00,-2.602830989000465833e-01,1.955989466445371416e-01
2.800000000000000266e+00,-2.583109804006831767e-01,1.988128225397851612e-01
2.810000000000000053e+00,-2.563070809289567653e-01,2.019551560719379246e-01
2.819999999999999840e+00,-2.542721154940078554e-01,2.050260338326621024e-01
2.830000000000000071e+00,-2.522067981668280057e-01,2.080255557186440896e-01
2.839999999999999858e+00,-2.501118419507233903e-01,2.109538348248508888e-01
2.850000000000000089e+00,-2.479879586488868692e-01,2.138109972872223319e-01
2.859999999999999876e+00,-2.458358587333232537e-01,2.165971821236861994e-01
2.870000000000000107e+00,-2.436562512151239923e-01,2.193125410735004832e-01
2.879999999999999893e+00,-2.414498435185211400e-01,2.219572384422148770e-01
2.890000000000000124e+00,-2.392173414169264656e-01,2.245314511273305280e-01
2.899999999999999911e+00,-2.369594488440526781e-01,2.270353682625028402e-01
2.910000000000000142e+00,-2.346768677609080145e-01,2.294691910240592991e-01
2.919999999999999929e+00,-2.323702980542576846e-01,2.318331325264127996e-01
2.930000000000000160e+00,-2.300404374169050248e-01,2.341274176570621035e-01
2.939999999999999947e+00,-2.276879812294286543e-01,2.363522829102246980e-01
2.950000000000000178e+00,-2.253136224433719137e-01,2.385079762191055219e-01
2.959999999999999964e+00,-2.229180514714186045e-01,2.405947568065120168e-01
2.970000000000000195e+00,-2.205019561319545573e-01,2.426128952227966651e-01
2.979999999999999982e+00,-2.180660214627346827e-01,2.445626729106422925e-01
2.990000000000000213e+00,-2.156109296197811775e-01,2.464443820671289032e-01
3.000000000000000000e+00,-2.131373597817013965e-01,2.482583255185638882e-01
3.010000000000000231e+00,-2.106459880433370624e-01,2.500048165507379183e-01
3.020000000000000018e+00,-2.081374873109621271e-01,2.516841787381458029e-01
3.030000000000000249e+00,-2.056125271990266734e-01,2.532967457721752580e-01
3.040000000000000036e+00,-2.030717739363005758e-01,2.548428613240136809e-01
3.050000000000000266e+00,-2.005158903061338704e-01,2.563228790548476299e-01
3.060000000000000053e+00,-1.979455354857447558e-01,2.577371621581522332e-01
3.070000000000000284e+00,-1.953613649666187668e-01,2.590860832632833621e-01
3.080000000000000071e+00,-1.927640304658855552e-01,2.603700242898944750e-01
3.089999999999999858e+00,-1.901541798336535971e-01,2.615893762758729202e-01
3.100000000000000089e+00,-1.875324569619626902e-01,2.627445392045591466e-01
3.109999999999999876e+00,-1.848995016953539905e-01,2.638359218312500420e-01
3.120000000000000107e+00,-1.822559497511122006e-01,2.648639415647129347e-01
3.129999999999999893e+00,-1.796024326534603199e-01,2.658290244332910945e-01
3.140000000000000124e+00,-1.769395776095583628e-01,2.667316046365901250e-01
3.149999999999999911e+00,-1.742680074415895175e-01,2.675721244731961712e-01
3.160000000000000142e+00,-1.715883405080415591e-01,2.683510341817731404e-01
3.169999999999999929e+00,-1.689011906248033545e-01,2.690687917689643105e-01
3.180000000000000160e+00,-1.662071669879197355e-01,2.697258628368796041e-01
3.189999999999999947e+00,-1.635068740980094304e-01,2.703227204101678049e-01
